altlabels,broaderconceptpt,broaderconcepturi,concepttype,concepturi,description,preferredlabel,reuselevel,skilltype
understand Estonian speech | make sense of spoken Estonian | listen to Estonian | interpret spoken Estonian | comprehend spoken Estonian | understanding spoken Estonian,Estonian,http://data.europa.eu/esco/skill/1b7e6f56-bc73-4bcc-81ae-09252175d418,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1408a267-21e1-479e-bd40-197fa14b3024,Comprehend orally expressed Estonian.,understand spoken Estonian,transversal,skill/competence
understand Montenegrin speech | listen to Montenegrin | interpret spoken Montenegrin | understanding spoken Montenegrin | comprehend spoken Montenegrin | make sense of spoken Montenegrin,Montenegrin,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1495fc80-05c1-4f5b-82ae-9abc612364cc,Comprehend orally expressed Montenegrin.,understand spoken Montenegrin,transversal,skill/competence
Castilian,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,The Spanish language. Spanish is an official and working language of the EU.,Spanish,transversal,knowledge
writing Russian | show competency in written Russian | correspond in written Russian,Russian,http://data.europa.eu/esco/skill/6891bbce-20bf-4afc-bd5e-75bdf54c0165,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14fc9b06-bf35-4b35-8f07-c53856ef18bc,Compose written texts in Russian.,write Russian,transversal,skill/competence
comprehend written basa jawa | comprehend written cara jawa | comprehend written Javanese | make sense of written Javanese | read Javanese | understand Javanese writing | interpret written Javanese | understanding written Javanese,Javanese,http://data.europa.eu/esco/skill/7a86907d-1fd5-4e8f-b0f1-f366a14f6f6d,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1500f1a7-d348-4d9e-b0a0-5792645f6c7a,Read and comprehend written texts in Javanese.,understand written Javanese,transversal,skill/competence
speak Montenegrin | be fluent in Montenegrin | communicate verbally in Montenegrin | verbally interact in Montenegrin | interacting verbally in Montenegrin,Montenegrin,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/15db81bb-7ee6-4a5f-838f-0e8a731b1fb7,Communicate orally in Montenegrin.,interact verbally in Montenegrin,transversal,skill/competence
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/15ea7b6b-1b93-4ed8-b58a-5c54777e0832,The Bihari language.,Bihari,transversal,knowledge
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/15f261e6-4379-437e-b137-b0c473ae3e74,The Macedonian language.,Macedonian,transversal,skill/competence
Sardu | Sard,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,The Sardinian language.,Sardinian,transversal,knowledge
be fluent in Icelandic | verbally interact in Icelandic | speak Icelandic | interacting verbally in Icelandic | communicate verbally in Icelandic,Icelandic,http://data.europa.eu/esco/skill/a18e3090-6afb-4afb-a055-1f83bbe498e3,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1658c54a-05f7-4bde-a2f0-be67bfbda596,Communicate orally in Icelandic.,interact verbally in Icelandic,transversal,skill/competence
listen to Japanese | make sense of spoken Japanese | comprehend spoken Japanese | understand Japanese speech | understanding spoken Japanese | interpret spoken Japanese,Japanese,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16af0cae-57a8-478b-9095-13d3a170c9e7,Comprehend orally expressed Japanese.,understand spoken Japanese,transversal,skill/competence
writing Czech | correspond in written Czech | show competency in written Czech,Czech,http://data.europa.eu/esco/skill/da0795a7-6866-4afc-81ed-5e3aa398f058,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16c86dd8-00fa-4fbd-a0a9-bb59f83ebc85,Compose written texts in Czech.,write Czech,transversal,skill/competence
understand Croatian speech | make sense of spoken Croatian | interpret spoken Croatian | understanding spoken Croatian | listen to Croatian | comprehend spoken Croatian,Croatian,http://data.europa.eu/esco/skill/6bc58e91-1827-4dc7-a9cf-2311edcba0ec,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1778faed-42eb-4aba-a41a-83989cb6bc6b,Comprehend orally expressed Croatian.,understand spoken Croatian,transversal,skill/competence
communicate verbally in Welsh | interacting verbally in Welsh | speak Welsh | verbally interact in Welsh | be fluent in Welsh,Welsh,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/185647bf-e101-4080-9a40-09173d7eefd0,Communicate orally in Welsh.,interact verbally in Welsh,transversal,skill/competence
communicate verbally in Tamil | speak Tamil | be fluent in Tamil | verbally interact in Tamil | interacting verbally in Tamil,Tamil,http://data.europa.eu/esco/skill/e9e9b625-f59f-4bda-952d-1f9831e6dfda,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/18e55722-e209-49a4-9f2c-ff0a789b3a68,Communicate orally in Tamil.,interact verbally in Tamil,transversal,skill/competence
