altlabels,broaderconceptpt,broaderconcepturi,concepttype,concepturi,description,preferredlabel,reuselevel,skilltype
interacting verbally in Chinese | be fluent in Chinese | interact verbally in Mandarin | speak Standard Chinese | speak Chinese | speak Mandarin | verbally interact in Chinese | speak Cantonese | communicate verbally in Chinese,Chinese,http://data.europa.eu/esco/skill/1fe42b38-cd42-4fc7-ae77-14e4c9e96295,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/702d3840-308a-4d4a-ab61-f40f87d47fff,Communicate orally in Chinese.,interact verbally in Chinese,transversal,skill/competence
interpret written Japanese | understanding written Japanese | understand Japanese writing | comprehend written Japanese | make sense of written Japanese | read Japanese,Japanese,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7077db13-08c2-4482-918c-e6291e04f82b,Read and comprehend written texts in Japanese.,understand written Japanese,transversal,skill/competence
interacting verbally in Maltese | communicate verbally in Maltese | be fluent in Maltese | verbally interact in Maltese | speak Maltese,Maltese,http://data.europa.eu/esco/skill/cb50f9cd-3638-409b-8f93-befaf17d313e,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/741ef95e-f1cf-4cf4-a021-b293e25eb005,Communicate orally in Maltese.,interact verbally in Maltese,transversal,skill/competence
speak Bulgarian | interacting verbally in Bulgarian | communicate verbally in Bulgarian | be fluent in Bulgarian | verbally interact in Bulgarian,Bulgarian,http://data.europa.eu/esco/skill/d5fd4958-4ca6-4d06-845f-713e2c459612,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/74e261bb-9a84-438b-9c6c-42e2a46613dc,Communicate orally in Bulgarian.,interact verbally in Bulgarian,transversal,skill/competence
show competency in written Greek | correspond in written Greek | writing Greek,Greek,http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7629db63-5922-42fa-8c80-9575526f7326,Compose written texts in Greek.,write Greek,transversal,skill/competence
show competency in written Norwegian | correspond in written Norwegian | write Bokmal | writing Norwegian | write Nynorsk,Norwegian,http://data.europa.eu/esco/skill/829f6eb5-0b26-4152-8eb3-82dd32b2b6f2,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/76506870-aeac-4bc2-96b2-cbc6702601ea,Compose written texts in Norwegian.,write Norwegian,transversal,skill/competence
understanding spoken Slovenian | make sense of spoken Slovenian | listen to Slovenian | comprehend spoken Slovene | comprehend spoken Slovenian | interpret spoken Slovenian | understand Slovenian speech,Slovenian,http://data.europa.eu/esco/skill/9ace3aae-aeae-4ed6-b625-26bc58345554,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/767f8edf-372a-490b-9346-54de0ba8c654,Comprehend orally expressed Slovenian.,understand spoken Slovenian,transversal,skill/competence
understanding written Telugu | interpret written Telugu | make sense of written Telugu | understand Telugu writing | read Telugu | comprehend written Telugu,Telugu,http://data.europa.eu/esco/skill/64fe09ac-f419-4c04-8997-d1dde2e31bfc,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/768e19df-be76-4e55-9120-8d1b07306293,Read and comprehend written texts in Telugu.,understand written Telugu,transversal,skill/competence
comprehend written Berber | read Berber | understanding written Berber | interpret written Berber | make sense of written Berber | understand Berber writing | comprehend written Tamazight,Berber,http://data.europa.eu/esco/skill/6f34bd05-1297-4913-92ff-85a604242b2f,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/78001945-0117-4dc7-ae8e-6c6800f1ffd8,Read and comprehend written texts in Berber.,understand written Berber,transversal,skill/competence
be fluent in Irish | communicate verbally in Irish | verbally interact in Irish | interacting verbally in Irish | speak Irish Gaelic | speak Irish | speak Gaelic,Irish,http://data.europa.eu/esco/skill/8f4c0fe6-10c7-409e-92d6-245f46728209,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7866045d-4d36-45e6-aa60-a8107f43e5b1,Communicate orally in Irish.,interact verbally in Irish,transversal,skill/competence
be fluent in Punjabi | interacting verbally in Punjabi | communicate verbally in Punjabi | verbally interact in Punjabi | speak Punjabi | speak Panjabi,Punjabi,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/790a0f2a-5250-4b6b-a013-c23160fcea65,Communicate orally in Punjabi.,interact verbally in Punjabi,transversal,skill/competence
make sense of spoken Slovak | listen to Slovak | understanding spoken Slovak | understand Slovak speech | comprehend spoken Slovak | interpret spoken Slovak,Slovak,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/79444b07-be9c-4cf9-ac91-04e52b2ac1a0,Comprehend orally expressed Slovak.,understand spoken Slovak,transversal,skill/competence
basa jawa | cara jawa,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a86907d-1fd5-4e8f-b0f1-f366a14f6f6d,The Javanese language.,Javanese,transversal,knowledge
comprehend spoken Finnish | listen to Finnish | understand Finnish speech | understanding spoken Finnish | interpret spoken Finnish | make sense of spoken Finnish,Finnish,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7bd84008-afc2-4f72-8b49-a1dc4723d479,Comprehend orally expressed Finnish.,understand spoken Finnish,transversal,skill/competence
interpret written Walloon | understand Walloon writing | read Walloon | comprehend written Walloon | make sense of written Walloon | understanding written Walloon,Walloon,http://data.europa.eu/esco/skill/d54d7c00-87c4-4f78-af8d-e84577372974,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7c16e933-2a3f-40e8-855c-f9e5c5a56199,Read and comprehend written texts in ​Walloon.,understand written Walloon,transversal,skill/competence
correspond in written Croatian | show competency in written Croatian | writing Croatian,Croatian,http://data.europa.eu/esco/skill/6bc58e91-1827-4dc7-a9cf-2311edcba0ec,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7c2e97a5-ac3d-4c01-9a3b-2e395f45d34a,Compose written texts in Croatian.,write Croatian,transversal,skill/competence
understanding written Belarusian | understand Belarusian writing | make sense of written Belarusian | read Belarusian | comprehend written Belarusian | interpret written Belarusian,Belarusian,http://data.europa.eu/esco/skill/6f55e44d-4494-4079-9b8d-01ac6912529e,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7c946ebd-21de-4b08-af66-dff0356b5ad1,Read and comprehend written texts in Belarusian.,understand written Belarusian,transversal,skill/competence
be fluent in Belarusian | verbally interact in Belarusian | interacting verbally in Belarusian | communicate verbally in Belarusian | speak Belarusian,Belarusian,http://data.europa.eu/esco/skill/6f55e44d-4494-4079-9b8d-01ac6912529e,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7da256db-ea36-43e3-ba4c-286b598628d5,Communicate orally in Belarusian.,interact verbally in Belarusian,transversal,skill/competence
comprehend written Polish | read Polish | interpret written Polish | understand Polish writing | understanding written Polish | make sense of written Polish,Polish,http://data.europa.eu/esco/skill/f3e9b964-0c2d-46c4-a895-8b3583054d69,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7e2c0de4-240d-4c6f-9336-56c0ac349212,Read and comprehend written texts in Polish.,understand written Polish,transversal,skill/competence
comprehend written Bihari | interpret written Bihari | make sense of written Bihari | read Bihari | understand Bihari writing | understanding written Bihari,Bihari,http://data.europa.eu/esco/skill/15ea7b6b-1b93-4ed8-b58a-5c54777e0832,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7ed08054-550c-4206-a991-1718dcb68658,Read and comprehend written texts in Bihari.,understand written Bihari,transversal,skill/competence
read English | understanding written English | interpret written English | make sense of written English | understand English writing | comprehend written English,English,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7ee20fe2-facd-4cc5-837b-927429e0e7ac,Read and comprehend written texts in English.,understand written English,transversal,skill/competence
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7ee51257-8947-4b69-9bdf-322baf0a6398,The Swedish language. Swedish is an official and working language of the EU.,Swedish,transversal,knowledge
make sense of written Montenegrin | understanding written Montenegrin | read Montenegrin | comprehend written Montenegrin | understand Montenegrin writing | interpret written Montenegrin,Montenegrin,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7f030a50-030e-429e-8f50-02186b27f7ea,Read and comprehend written texts in Montenegrin.,understand written Montenegrin,transversal,skill/competence
interpret spoken Bengali | understand Bengali speech | comprehend spoken Bengia | comprehend spoken Bengali | listen to Bengali | understanding spoken Bengali | make sense of spoken Bengali,Bengali,http://data.europa.eu/esco/skill/ede98e07-f07d-41bc-99b0-f88bf0dad438,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8024130b-1359-485d-b40f-9b31e25d7c17,Comprehend orally expressed Bengali.,understand spoken Bengali,transversal,skill/competence
understand Korean speech | interpret spoken Korean | comprehend spoken Korean | understanding spoken Korean | make sense of spoken Korean | listen to Korean,Korean,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/81192ed1-cabc-48c5-bbc3-9ff06d3f2958,Comprehend orally expressed Korean.,understand spoken Korean,transversal,skill/competence
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/829f6eb5-0b26-4152-8eb3-82dd32b2b6f2,The Norwegian language.,Norwegian,transversal,knowledge
understanding written Hindi | comprehend written Hindi | make sense of written Hindi | read Hindi | interpret written Hindi | understand Hindi writing,Hindi,http://data.europa.eu/esco/skill/d93a7370-bf56-43f5-be54-e108f8ec3107,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/84e1df68-529a-4dbf-9557-5c50de5b27c3,Read and comprehend written texts in Hindi.,understand written Hindi,transversal,skill/competence
make sense of spoken Marathi | comprehend spoken Marathi | interpret spoken Marathi | understanding spoken Marathi | listen to Marathi | understand Marathi speech,Marathi,http://data.europa.eu/esco/skill/2080075c-0488-4fbf-a786-734dbbef31ce,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/87087740-89b7-4d0c-a3a1-99c573c81b62,Comprehend orally expressed Marathi.,understand spoken Marathi,transversal,skill/competence
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/87219dfe-a21c-4160-8cc8-1eabf9b16b44,The Italian language. Italian is an official language of the EU.,Italian,transversal,knowledge
listen to Maltese | comprehend spoken Maltese | make sense of spoken Maltese | understand Maltese speech | interpret spoken Maltese | understanding spoken Maltese,Maltese,http://data.europa.eu/esco/skill/cb50f9cd-3638-409b-8f93-befaf17d313e,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/88778b48-d8dd-4c7e-8154-6f45fab4b0e9,Comprehend orally expressed Maltese.,understand spoken Maltese,transversal,skill/competence
communicate verbally in Romani | be fluent in Romani | interacting verbally in Romani | verbally interact in Romani | speak Romany | speak Romani,Romani,http://data.europa.eu/esco/skill/8ef3eccc-a847-430e-b828-cf178803b8c1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/894f3286-ae58-4a13-a8ed-9aa7c5c77c18,Communicate orally in Romani.,interact verbally in Romani,transversal,skill/competence
verbally interact in Russian | speak Russian | communicate verbally in Russian | interacting verbally in Russian | be fluent in Russian,Russian,http://data.europa.eu/esco/skill/6891bbce-20bf-4afc-bd5e-75bdf54c0165,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/895b3eab-d1e7-443d-8ba3-745f67462207,Communicate orally in Russian.,interact verbally in Russian,transversal,skill/competence
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8a45f04a-cd28-4ac1-8e8b-ecfd21be0b18,The Hebrew language.,Hebrew,transversal,knowledge
show competency in written Gujarati | writing Gujarati | correspond in written Gujarati,Gujarati,http://data.europa.eu/esco/skill/9b0baaa7-fed3-41b7-b74e-9d459f11acfe,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8d09f7c2-d10c-4818-a91d-d2f1b8ec7973,Compose written texts in Gujarati.,write Gujarati,transversal,skill/competence
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,The Welsh language.,Welsh,transversal,knowledge
comprehend written Kazakh | understand Kazakh writing | read Kazakh | interpret written Kazakh | understanding written Kazakh | make sense of written Kazakh,Kazakh,http://data.europa.eu/esco/skill/f37dbb3c-dafc-4835-86d1-de9615626f9b,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8e12171c-d2b4-4a79-a3ff-ebe18913cc9f,Read and comprehend written texts in ​Kazakh.,understand written Kazakh,transversal,skill/competence
comprehend spoken Serbian | interpret spoken Serbian | understanding spoken Serbian | listen to Serbian | understand Serbian speech | make sense of spoken Serbian,Serbian,http://data.europa.eu/esco/skill/c5cb0cc1-c40b-4544-a21c-8472f0b5c14a,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8e46288c-025c-4d28-8316-13a21f25f964,Comprehend orally expressed Serbian.,understand spoken Serbian,transversal,skill/competence
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8ee2b6f2-7017-4b9a-9de2-4dedf0711394,The Catalan language.,Catalan,transversal,knowledge
Romany,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8ef3eccc-a847-430e-b828-cf178803b8c1,The language family of Romani languages.,Romani,transversal,knowledge
comprehend written Azeri Turkish | comprehend written Azerbaijani | read Azerbaijani | understanding written Azerbaijani | make sense of written Azerbaijani | interpret written Azerbaijani | comprehend written Azerbaijani Turkish | comprehend written Azeri | understand Azerbaijani writing,Azerbaijani,http://data.europa.eu/esco/skill/5bfce8e7-6f22-4e67-9018-0e4161620f3a,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8f1efe4e-5f92-43b0-a329-3c17c1460a37,Read and comprehend written texts in Azerbaijani.,understand written Azerbaijani,transversal,skill/competence
Gaelic | Irish Gaelic,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8f4c0fe6-10c7-409e-92d6-245f46728209,The Irish language. Irish is an official and working language of the EU.,Irish,transversal,skill/competence
show competency in written Maltese | correspond in written Maltese | writing Maltese,Maltese,http://data.europa.eu/esco/skill/cb50f9cd-3638-409b-8f93-befaf17d313e,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8ff32017-9a19-400c-8de5-8a93198864be,Compose written texts in Maltese.,write Maltese,transversal,skill/competence
show competency in written Walloon | correspond in written Walloon | writing Walloon,Walloon,http://data.europa.eu/esco/skill/d54d7c00-87c4-4f78-af8d-e84577372974,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/91161335-8adf-4567-8fa5-62fb37948664,Compose written texts in ​Walloon.,write Walloon,transversal,skill/competence
understand Serbian writing | read Serbian | comprehend written Serbian | interpret written Serbian | understanding written Serbian | make sense of written Serbian,Serbian,http://data.europa.eu/esco/skill/c5cb0cc1-c40b-4544-a21c-8472f0b5c14a,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9273eec7-e9ce-4860-88fb-9f30faeea34d,Read and comprehend written texts in Serbian.,understand written Serbian,transversal,skill/competence
understanding spoken Hebrew | listen to Hebrew | make sense of spoken Hebrew | comprehend spoken Hebrew | interpret spoken Hebrew | understand Hebrew speech,Hebrew,http://data.europa.eu/esco/skill/8a45f04a-cd28-4ac1-8e8b-ecfd21be0b18,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/92ca09cb-e827-4c49-b318-8f540de4debb,Comprehend orally expressed Hebrew.,understand spoken Hebrew,transversal,skill/competence
comprehend spoken Bulgarian | understand Bulgarian speech | understanding spoken Bulgarian | listen to Bulgarian | make sense of spoken Bulgarian | interpret spoken Bulgarian,Bulgarian,http://data.europa.eu/esco/skill/d5fd4958-4ca6-4d06-845f-713e2c459612,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/943fe908-c465-4e91-944c-20e2242fd03a,Comprehend orally expressed Bulgarian.,understand spoken Bulgarian,transversal,skill/competence
understand Dutch writing | understanding written Dutch | make sense of written Dutch | understand written Flemish | comprehend written Dutch | read Dutch | interpret written Dutch | read Flemish,Dutch,http://data.europa.eu/esco/skill/cad4f44b-28a8-4448-86e5-7389e5ebf3eb,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/96ab25a3-c89b-43ea-833b-26b637c3b6ed,Read and comprehend written texts in Dutch.,understand written Dutch,transversal,skill/competence
show competency in written Albanian | correspond in written Albanian | writing Albanian,Albanian,http://data.europa.eu/esco/skill/f1a08ec9-32d2-4e52-ba4a-66e049019be8,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/97ca0f19-c53f-4c38-b983-398345cba227,Compose written texts in Albanian.,write Albanian,transversal,skill/competence
verbally interact in Slovenian | speak Slovenian | interacting verbally in Slovenian | be fluent in Slovenian | communicate verbally in Slovenian | speak Slovene,Slovenian,http://data.europa.eu/esco/skill/9ace3aae-aeae-4ed6-b625-26bc58345554,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/98d31888-bb47-4f54-b339-bd0b9c289048,Communicate orally in Slovenian.,interact verbally in Slovenian,transversal,skill/competence
understanding spoken Lithuanian | understand Lithuanian speech | comprehend spoken Lithuanian | interpret spoken Lithuanian | listen to Lithuanian | make sense of spoken Lithuanian,Lithuanian,http://data.europa.eu/esco/skill/b3950b87-a980-4cd4-a795-be8a9b63661d,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/99933cd7-7868-4f83-8bb3-d747433159d3,Comprehend orally expressed Lithuanian.,understand spoken Lithuanian,transversal,skill/competence
make sense of written Marathi | understand Marathi writing | interpret written Marathi | read Marathi | comprehend written Marathi | understanding written Marathi,Marathi,http://data.europa.eu/esco/skill/2080075c-0488-4fbf-a786-734dbbef31ce,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9996836f-788c-4f04-a792-c831b2e94e2f,Read and comprehend written texts in Marathi.,understand written Marathi,transversal,skill/competence
listen to Basque | make sense of spoken Basque | interpret spoken Basque | understand Basque  speech | comprehend spoken Basque | understanding spoken Basque,Basque,http://data.europa.eu/esco/skill/a28fa5f1-be5b-4608-8376-acea8c2f8cb1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/99b3532b-2f47-47f5-b194-708957acf0a8,Comprehend orally expressed Basque.,understand spoken Basque,transversal,skill/competence
interacting verbally in Greek | be fluent in Greek | speak Greek | communicate verbally in Greek | verbally interact in Greek,Greek,http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9a42bdc6-8496-4874-b9f5-b48207a85282,Communicate orally in Greek.,interact verbally in Greek,transversal,skill/competence
Slovene,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9ace3aae-aeae-4ed6-b625-26bc58345554,The Slovenian language. Slovenian is an official and working language of the EU.,Slovenian,transversal,knowledge
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9b0baaa7-fed3-41b7-b74e-9d459f11acfe,The Gujarati language.,Gujarati,transversal,knowledge
comprehend written Swedish | understand Swedish writing | make sense of written Swedish | interpret written Swedish | understanding written Swedish | read Swedish,Swedish,http://data.europa.eu/esco/skill/7ee51257-8947-4b69-9bdf-322baf0a6398,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9bccf172-587b-489b-84b7-5e1c8cc91520,Read and comprehend written texts in Swedish.,understand written Swedish,transversal,skill/competence
interacting verbally in Limburgish | speak Limburgian | speak Limburgic | communicate verbally in Limburgish | speak Limburgish | verbally interact in Limburgish | be fluent in Limburgish,Limburgish,http://data.europa.eu/esco/skill/cf5b3ca0-a844-42b9-b9cd-bd15465b9cac,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9ce34147-6618-4f1b-bbe3-f46e9aa17211,Communicate orally in ​Limburgish.,interact verbally in Limburgish,transversal,skill/competence
interpret written Portuguese | understand Portuguese writing | make sense of written Portuguese | comprehend written Portuguese | read Portuguese | understanding written Portuguese,Portuguese,http://data.europa.eu/esco/skill/584c13e8-fd06-4ca3-a45b-cca5b2f147a7,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9ef06b7c-991c-46a5-9dbc-82506031e8f9,Read and comprehend written texts in Portuguese.,understand written Portuguese,transversal,skill/competence
correspond in written Bengia | show competency in written Bengali | writing Bengali | correspond in written Bengali,Bengali,http://data.europa.eu/esco/skill/ede98e07-f07d-41bc-99b0-f88bf0dad438,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9f3e3f27-1f27-4b77-9bc8-4ec33e33b8b1,Compose written texts in Bengali.,write Bengali,transversal,skill/competence
understanding spoken Spanish | comprehend spoken Spanish | understand Spanish speech | make sense of spoken Spanish | listen to Spanish | interpret spoken Spanish | listen to Castilian,Spanish,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a0ccc96f-edec-4641-b053-12159ebe5b13,Comprehend orally expressed Spanish.,understand spoken Spanish,transversal,skill/competence
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a18e3090-6afb-4afb-a055-1f83bbe498e3,The Icelandic language.,Icelandic,transversal,knowledge
read Hebrew | make sense of written Hebrew | understanding written Hebrew | understand Hebrew writing | comprehend written Hebrew | interpret written Hebrew,Hebrew,http://data.europa.eu/esco/skill/8a45f04a-cd28-4ac1-8e8b-ecfd21be0b18,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a2358129-ba05-49bb-914f-03420a8be102,Read and comprehend written texts in Hebrew.,understand written Hebrew,transversal,skill/competence
understanding written Albanian | read Albanian | understand Albanian writing | interpret written Albanian | make sense of written Albanian | comprehend written Albanian,Albanian,http://data.europa.eu/esco/skill/f1a08ec9-32d2-4e52-ba4a-66e049019be8,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a28c2024-0fa6-43fd-a848-1a7ec7fe28b0,Read and comprehend written texts in Albanian.,understand written Albanian,transversal,skill/competence
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a28fa5f1-be5b-4608-8376-acea8c2f8cb1,The Basque language.,Basque,transversal,knowledge
interpret spoken Galician | understanding spoken Galician | understand Galician speech | listen to Galician | make sense of spoken Galician | comprehend spoken Galician,Galician,http://data.europa.eu/esco/skill/66212ff2-34b9-4812-be58-f53a0b751863,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a3e0c23e-db44-43f5-af4b-7e1b60deb6d8,Comprehend orally expressed ​Galician.,understand spoken Galician,transversal,skill/competence
understanding written Galician | interpret written Galician | read Galician | make sense of written Galician | comprehend written Galician | understand Galician writing,Galician,http://data.europa.eu/esco/skill/66212ff2-34b9-4812-be58-f53a0b751863,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a61e9686-7e8f-44ec-967b-d6445f90230b,Read and comprehend written texts in Galician.,understand written Galician,transversal,skill/competence
understanding spoken Albanian | comprehend spoken Albanian | interpret spoken Albanian | understand Albanian speech | listen to Albanian | make sense of spoken Albanian,Albanian,http://data.europa.eu/esco/skill/f1a08ec9-32d2-4e52-ba4a-66e049019be8,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a6aa3c44-b4d7-4db6-9a84-329e5ca9c64d,Comprehend orally expressed ​Albanian.,understand spoken Albanian,transversal,skill/competence
understand Yiddish writing | understanding written Yiddish | read Yiddish | comprehend written Yiddish | interpret written Yiddish | make sense of written Yiddish,Yiddish,http://data.europa.eu/esco/skill/d59ef10f-ad20-4791-957d-b315196ecdc2,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a7e1201f-bc9c-4dd9-aa82-271273f94595,Read and comprehend written texts in Yiddish.,understand written Yiddish,transversal,skill/competence
read Hungarian | interpret written Hungarian | comprehend written Hungarian | understanding written Hungarian | understand Hungarian writing | make sense of written Hungarian,Hungarian,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a88e4c9e-5a40-4da7-acf1-02e4a9e46da2,Read and comprehend written texts in Hungarian.,understand written Hungarian,transversal,skill/competence
comprehend spoken Danish | understanding spoken Danish | listen to Danish | make sense of spoken Danish | interpret spoken Danish | understand Danish speech,Danish,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a9170bca-28d9-4bb5-b950-0d0f712d1cd2,Comprehend orally expressed Danish.,understand spoken Danish,transversal,skill/competence
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,The ​Bosnian language.,Bosnian,transversal,knowledge
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/aa66a033-8522-40e9-a5c0-ff2593e2669c,The Turkish language.,Turkish,transversal,knowledge
writing Catalan | correspond in written Catalan | show competency in written Catalan | write Valencian,Catalan,http://data.europa.eu/esco/skill/8ee2b6f2-7017-4b9a-9de2-4dedf0711394,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/aaf57e19-0d41-4361-8de9-bcd858e3f10d,Compose written texts in ​Catalan.,write Catalan,transversal,skill/competence
show competency in written Estonian | writing Estonian | correspond in written Estonian,Estonian,http://data.europa.eu/esco/skill/1b7e6f56-bc73-4bcc-81ae-09252175d418,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/abadaacb-5751-4f52-96b7-c9bbc070f9de,Compose written texts in Estonian.,write Estonian,transversal,skill/competence
